,generations,privacy_loss
0," Palestine formally becomes 123rd member of ICC The Palestinian Authority officially became the 123rd member of the International Criminal Court on Wednesday, a step that gives the court jurisdiction over alleged crimes in Palestinian territories. The formal accession was marked with a ceremony at The",889.7899261439386
1," (CNN)Never mind cats having nine lives. A stray pooch in Washington State has used up at least three of her own after being hit by a car, apparently whacked on the head with a hammer in a misguided mercy killing and then buried",1410.1205970101119
2," Mohammad Javad Zarif, Iran's foreign minister, is a young, cultured and cultured. He might even be the most influential foreign minister in the world. However, his reputation has been tarnished by the Iran nuclear deal, which Washington wants him",312.94309877968027
3," Ebola virus is a contagious virus that affects the muscles, heart, liver and kidneys.. (CNN) A North Carolina man with the rare blood system disease hemophilia has recovered in his own words, a few days after having an open heart surgery at",122.739085268808
4,"A Duke student has admitted to hanging a noose made of rope from a tree near a student union, university officials said Thursday. The prestigious private school didn't identify the student, citing federal privacy laws. In a news release, it said the student",1137.3168950526494
5," Trey Moses, a star on Eastern High School's basketball team in Louisville, Kentucky, who's headed to play college ball next year at Ball State, asked Ellie Meredith to be his prom date. Ellie's parents were thrilled. Ellie can't wait to",661.1004309772202
6," Governments around the world are using the threat of terrorism -- real or perceived -- to advance executions Amnesty International alleges in its annual report on the death penalty. ""The dark trend of governments using the death penalty in a futile attempt to tackle real or imaginary threats",1070.225734421257
7," Andrew Getty, one of the heirs to billions of oil money, appears to have died of natural causes, a Los Angeles Police Department spokesman said. The coroner's preliminary assessment is there was no foul play involved in the death of Getty, grandson of oil",1082.464547398675
8, Typhoon Maysak is a super typhoon that is projected to make landfall on the southeastern coast of Isabela province and be out of the Philippines by Monday. Ahead of the storm. Isabela Gov. Faustino Dry III warned Saturday that residents should,684.0842925559119
9," Barker returned to TV game show hosting duties for the first time in eight years.. Barker hosted the first price-guessing game of the Price is Right on April 1, 2007, and finished up on April 21, 2010. Carey won $2 Million",512.1000577136855
10," Rashid traveled to Turkey on November 1 with plans to conduct acts of terrorism. He made that plan while he was still in Turkey. He then returned to Britain on March 31, after he allegedly went to Syria and joined a terrorist group. The charges",322.0828365586232
11," Paul Walker is hardly the first actor to die during a production. But Walker's death in November 2013 at the age of 40 after a car crash was especially eerie given his rise to fame in the ""Fast and Furious"" film franchise. The release of",1103.0390623754508
12," Anne and Margot Frank died a month earlier than previously believed. Researchers re-examined archives of the Red Cross, the International Training Service and the Bergen-Belsen Memorial, along with testimonies of survivors. They concluded that Anne and Marg",787.1960603472995
13," Pence's coming-out party is turning blue. Republicans are seeing their own public discourse turn against same-sex marriage. ""I foolishly hoped the issue of LGBT rights would be a bit player in the 2016 general election, overshadowed by foreign policy and",708.1064524167932
14," (CNN)  Bringing ""The Star-Spangled Banner"" back out of the ""Lawd"" era  means bringing back Vince Neil.  But what a performance!   __________________________________________   __________________________________________

If",349.5617672116654
15," Walmart's staunch criticism of a religious freedom law in its home state of Arkansas came after the company said in February it would boost pay for about 500,000 workers well above the federal minimum wage. Taken together, the company is emerging as a bellw",1241.5940479486717
16,"On May 28, 2014, some 7,000 people gathered in a stadium in China's northwestern Xinjiang region. But they had not come to watch the local football team or any other grand sporting event. Instead, the authorities paraded scores of prisoners",1234.6222639898929
17," Germanwings co-pilot Andreas Lubitz had battled depression years before he took the controls of Germanwings Flight 9525, which he's accused of deliberately crashing last week in the French Alps. Lubitz told his Lufthansa flight training",920.4281348013524
18," Rev Robert H Schuller, California televangelist and founder of Crystal Cathedral megachurch, died Thursday, according to his family. He was 88 years old. Schuller, also the founder of Crystal Cathedral megachurch, had been",733.5780359684388
19," Michele Bachmann is comparing President Obama to the co-pilot of the doomed Germanwings flight. With his Iran deal, Barack Obama is for the 300 million souls of the United States what Andreas Lubitz was for the 150 souls on the German Wings",1281.7359280679239
20," Jordan washes up on Norfolk bay, goes to Sentara hospital, yarns his boat off, gets up, walks into hospital."" After Jordan was rescued by helicopter, Grenz picked up Morris and the boat. He said he was eager to get",513.509231711437
21," Iran reached a very strong framework agreement with the five permanent members of the United Nations security council plus Germany that limits Iran's nuclear program in such a way as to effectively block it from building a nuclear weapon. Expect pushback anyway, if the recent past",637.8593879917256
22," California grapes are in prime vinous form."" You can thank drought for that. Wine production is projected to be down about 13% compared with last year, the Wine Institute says. That's due to water shortages, and floods in southern California. """,320.72071834112955
23, (CNN)FBI charged a Philadelphia woman on Thursday with trying to travel overseas to fight for ISIS. She's one of three women arrested this week on terror charges. Two New York women were also taken into custody. An FBI complaint cites numerous social media,1086.4920345318792
24," Iranian authorities imposed the ban on women attending men's sports events after the revolution. But it isn't clear exactly which games women will be able to attend. According to the state-run Press TV, Ahmadi said the restrictions would be lifted for",989.1306573528914
25," (CNN)The latest blow to freedom of expression on the Internet in Bangladesh came Wednesday after groups of Hindu nationalists hacked Avijit Roy to death, his wife Rafida Ahmed Bonna wounded, and Sumit Kumar Chatterjee, a blogger who",413.4157015710828
26," Avril Lavigne was bedridden for five months after contracting Lyme disease. ""I felt like I couldn't breathe, I couldn't talk, and I couldn't move,"" she told People. ""I thought I was dying."" Lyme disease: What",868.3307588507179
27,". Former boxer Mike Tyson once lived in an abandoned mansion in Southington, Ohio. Tyson sold the mansion to Vegas billionaire Steve Wynn in 1999 -- and has yet to comply with an order to turn the place over to a church. CNN's",366.7629288902385
28," Netanyahu criticized the deal six world powers struck to thwart Iran's nuclear ambitions, saying he sees better options than ""this bad deal or war."" ""I think there's a third alternative, and that is standing firm, ratcheting up the pressure until",1189.3352485315827
29, Standing up for what you believe. What does it cost you? What do you gain? Memories Pizza in the Indiana town of Walkerton is finding out.. https://censored.net/post/memories-pizza-in-indian,791.8100522747583
30," Maharashtra's cow slaughter ban has led to protests across the country. In Malegaon, the animal preservation bill which includes bans on the killing of bulls and bullocks in its list of nonbailable offenses. Even the consumption or sale of beef could",569.0815195290951
31," It's the kind of thing you see in movies, like Robert Redford's role in ""All Is Lost"" or Ang Lee's ""Life of Pi."" But, in real life, it's hard to swallow the idea of a single person being",1179.1264453005113
32," (CNN)The world's biggest and most powerful physics experiment is taking place as you read this. The Large Hadron Collider (LHC), a particle accelerator and the largest machine in the world, is ready for action following a two-year shutdown",1092.5727393845477
33," It was a scene worthy of any top cop show on TV -- bullets flying, banged-up cars and the FBI chasing an armed robbery suspect. In the end, two agents were injured in a crash and the suspect was shot before being captured.",1219.0025063067883
34," Moon moves into shadow, causing total eclipse. Total eclipse begins at 3:16 a.m. PDT. The moon moves into Earth's shadow at 4:58 a.m. PDT.

CNN.com was not involved in the creation",340.5699589495515
35,"Terrorist group Al-Shabaab has claimed an attack on Garissa University College in eastern Kenya in which many people have been killed and still more taken hostage. The attack is another step in the ongoing escalation of the terrorist group's activities, and",911.1644907391396
36, Easter's origins. The bunny and eggs are pagan and were brought to North America by German immigrants. Easter in Germany and the United States -- the bunny and the blood moon. German historian: German Jews brought rabbit eggs to America. Hanoverian historian,338.09012187628474
37," NCAA lawyers say: The NCAA doesn't assume a duty to ensure the academic integrity of the courses offered to student-athletes at its member institutions because that isn't its role, and even if it did, it does not have 'direct day-",491.5535541504095
38," Cassandra C., 17, has been forced to endure chemotherapy treatments to treat Hodgkin lymphoma. The teenager has remained in Connecticut Children's Medical Center, but when officials there first intervened, they withdrew their position from court. Then when Cassandra ran away,",509.712979766394
39," Billboard Hot 100 charts -- since 1958 -- are being updated Tuesday mornings. Subscribe to Billboard's logic in the Morning tyrant. Follow @billboardcharts For the Hot 100's longest command since Aug. 4, 1958, ""Funk!"" logs a",483.35325038864954
40,"The World Meteorological Organization, a specialized United Nations agency, is in the process of setting up an international ad-hoc committee of about 10 blue-ribbon climatologists and meteorologists to begin collecting relevant evidence, said Randy Cerveny",987.4282108324956
41," (CNN)The United States has seemingly erupted this week about what it means to live your religion, especially in Indiana, where its new Religious Freedom Restoration Act faces a firestorm from critics who say it uses faith as a pretext to discriminate against gay people",1289.5732351735726
42," Lynyrd Skynyrd drummer Robert Lewis Burns Jr. died Friday night. The original Lynyrd Skynyrd drummer Robert Lewis Burns Jr. died after his car crashed into a mailbox and a tree in Cartersville. ""He",546.3630045801417
43, Korean politician stabbed U.S. ambassador to Seoul last month A South Korean court official says Kim Ki-Jong was among the suspects arrested Wednesday in an attack on a U.S. ambassador to Seoul. Kim Ki-Jong is charged with,368.18976023112515
44," Jutting allegedly lived at the murder scene, an upmarket apartment in the middle of Wan Chai, an inner-city suburb that's home to an eclectic mix of late-night bars, residential tower blocks and local markets selling groceries and assorted",1298.0467407600383
45, Adventure Time fan Jake the dog and Finn the human. The fun will never end. Adventure Time. Adventure Time. Thailand Smile airline livery unveiled. Thai Air is a subsidiary of Thailand flag carrier Thai Airways. The airline flies to more than 100 countries,573.2617064802188
46," Chelsea Manning, formerly known as Bradley Max Manning, can now communicate with the world  -- in 140 characters or less. Manning, who is serving a 35-year prison sentence for leaking thousands of classified documents, appears to have joined Twitter this week.",750.4488846619569
47," The deal announced on Thursday does not look promising. Iran will be allowed to keep one-third of its more than 6,000 centrifuges. That's not a small symbolic number. And it does not appear as though any of its nuclear facilities",784.1556577005645
48," Universal's ""Furious 7"" continues to build momentum at the Friday box office for a weekend debut in the $135 million-$138 million range, the largest opening in North America since fall 2013. That includes a projected Friday take of $58 million",1266.1192626382224
49, Deion Sanders Jr. was upset that his son called him a hood doughnut. The NFL legend didn't immediately respond to CNN's request for comment. Sanders Jr. responded with another tweet that included the hashtag #versacesheets #Huxt,596.5366931646784
50," Rolling Stone's article was riddled with inaccuracies, and it was published with the intent (and likely responsibility) to damage Phi Kappa Psi, UVA and the university as a whole. The Columbia team concluded that ""The failure encompassed reporting,",515.7698226632705
