,generations,privacy_loss
0," Palestine officially joined the International Criminal Court (ICC) as its 123rd member, giving the court jurisdiction over alleged crimes in Palestinian territories. The move was welcomed by human rights groups but opposed by Israel and the United States, neither of which",0
1,"

A one-year-old bully breed mix dog named Theia was found alive four days after being apparently buried dead. Mellado, her foster parent, states that Theia suffered injuries from being hit by a car, whacked on the head",0
2," Mohammad Javad Zarif is the Iranian foreign minister and key player in the nuclear talks with the U.S. He is known for his polished and jovial demeanor. The article highlights lesser-known facts about Zarif, including:

* He wished",0
3, Five Americans exposed to Ebola in Sierra Leone have been released after a three-week monitoring period at a Nebraska hospital. None of them contracted the virus. One individual experienced a heart-related issue but has been discharged and remains in the area. Their colleague,0
4," Duke University student confessed hanging a noose from a tree near the student union, facing student conduct review and is no longer on campus.  The incident sparked outrage and protests, with students and faculty marching and attending forums condemning the act. University officials said",0
5," Trey Moses, a star high school basketball player and upcoming Ball State recruit, asked Ellie Meredith, a freshman with Down syndrome, to prom instead of his girlfriend. This decision was inspired by their friendship fostered through Eastern High's Best Buddies program,",0
6," Worldwide executions declined by 22% in 2014, but the number of death sentences handed down increased sharply, driven by mass sentencing in countries like Egypt and Nigeria.  Amnesty International highlights positive trends towards abolition, particularly in Africa",0
7," Andrew Getty, 47, grandson of oil tycoon J. Paul Getty and son of Gordon Getty, appears to have died of natural causes. His death was not deemed suspicious. Investigators found medication at his home, but it's unknown if he",0
8," Tropical storm Maysak (Chedeng), formerly a super typhoon, is approaching the Philippines and expected to make landfall Sunday morning. Despite losing strength, it still has sustained winds over 70 mph and authorities are taking precautions like barring outdoor activities",0
9," TV legend Bob Barker returned to host ""The Price Is Right"" for the first time in eight years. At 91 years old, Barker hosted the first price-guessing game before handing over the rest of the show to current host Drew Carey",0
10," Yahya Rashid, a 19-year-old UK national from northwest London, was arrested upon his return from Turkey at Luton airport on Tuesday. He has been charged with two terrorism-related offenses: preparing acts of terrorism and assisting others in committing",0
11," Paul Walker, known for the ""Fast and Furious"" franchise, tragically died in 2013, leaving a void in Hollywood. ""Furious 7"", released posthumously pays tribute to Walker. The script was rewritten with special effects and",0
12, New research suggests Anne Frank and her sister Margot likely died from typhus in the Bergen-Belsen concentration camp at least a month earlier than previously thought. Witnesses at the camp reported seeing the sisters with symptoms before February 7. Researchers believe exposure to,0
13," Indiana Governor Mike Pence signed a controversial Religious Freedom Restoration Act (RFRA) that critics argue allows for discrimination against LGBT individuals. This has sparked widespread backlash and debate over same-sex marriage and religious freedom. Similar ""RFRA"" bills are being introduced",0
14," Performance of the national anthem at public events has a way of making or breaking fame. The article highlights famous examples of both well-received and heavily criticized renditions, from Whitney Houston's Super Bowl performance to Vince Neil's arena football game blunder",0
15," Walmart, the largest retailer in America, has emerged as a vocal opponent of religious freedom laws in Indiana and Arkansas, highlighting the growing support for LGBT equality in the business community. Despite traditionally backing Republicans, Walmart CEO Doug McMillan called for Governor Asa Hutchinson to",0
16," Amnesty International released its annual review of the death penalty worldwide, revealing both troubling and positive trends. 
 While there was a decrease in global executions compared to the previous year, several governments, including Pakistan, Iran, Iraq, Jordan, Indonesia, Egypt",0
17," Investigators are looking into Andreas Lubitz's, the Germanwings co-pilot, mental state and possible motive for crashing Flight 9525. Medical records reveal Lubitz had suicidal tendencies in the past and underwent psychotherapy before obtaining his pilot'",0
18," Robert Schuller, founder and pastor of Crystal Cathedral and host of the long-running televangelist show ""Hour of Power,"" died Thursday at age 88. Schuller was a pioneer in bringing the gospel to the masses through television, reaching",0
19," Michele Bachmann drew heavy criticism for comparing President Obama's Iran nuclear deal to Andreas Lubitz, the co-pilot who crashed Germanwings Flight 9525. Bachmann posted on Facebook, stating Obama, with his Iran deal, is",0
20," Louis Jordan, 37, disappeared at sea for over 60 days before he was rescued by the crew of a container ship. He had set out to fish from Conway, South Carolina, in his sailboat, ""Angel,"" but a storm",0
