,generations,privacy_loss
0," Palestine becomes 123rd member of ICC, paving the way for possible war crimes investigations against Israelis.",216.78631168897297
1," A stray pooch in Washington survived at least three of her own after apparently hit by a car, whacked on the head with a hammer in a misguided mercy killing and then buried in a field. Summarize the article in your own words.",752.9157454952713
2," Mohammad Javad Zarif is jovial, received a hero's welcome as he arrived in Iran on a sunny Friday morning. Summarize the article in your own words. http://www.cnn.com/2015/04/04/opin",516.4756964783288
3," Five Americans being monitored for three weeks at Omaha, Nebraska, hospital after being exposed to Ebola in West Africa have been released, a Nebraska Medicine spokesman said in an email Wednesday. One of the five had a heart-related issue on Saturday and has been discharged",786.109863199083
4," A Duke student admitted hanging a noose made of rope from a tree near a student union, university officials said Thursday. Why is this important? Why should we care about this issue? How does this information relate to your life?",540.099699779523
5," Trey Moses, a high school basketball recruit asked Ellie Meredith, who has Down syndrome to be his date to the high school prom. 3.	What was Trey thinking about when he decided to ask Ellie to prom? (2) 4.",551.1966492874907
6, Amnesty International alleges governments around the world are using the threat of terrorism -- real or perceived -- to advance executions. The dark trend of governments using the death penalty in a futile attempt to tackle real or imaginary threats to state security and public safety was stark last,824.0212611843118
7," Andrew Getty, one of the heirs to billions of oil money, appears to have died of natural causes, a Los Angeles Police Department spokesman said. The coroner's preliminary assessment is there was no foul play involved in the death of Getty, grandson of",746.1132969758374
8," Tropical storm Maysak is preparing to hit Filipinos with flash floods and landslides and has taken preemptive steps to keep people safe such as barring outdoor activities like swimming, surfing, diving and boating with PAGASA predicting it will make",541.0343444624027
9, Bob Barker returns to host The Price is Right for the first time in eight years.,199.9600054264209
10," London (CNN)A 19-year-old man was charged Wednesday with terror offenses after he was arrested as he returned to Britain from Turkey, London's Metropolitan Police said Yahya Rashid Summarize the title in one sentence. Summary: London (",932.313013218927
11," Paul Walker fans reminisce as ""Furious 7"" opens",139.06182767919424
12, Anne Frank died of typhus in a Nazi concentration camp at the age of 15.,187.55993730914048
13, Pence is a Koch favorite that mulls a 201616 run for president because he signed a religious freedom law opening the door to discrimination against gays and lesbians which made him draw huge heat and put him in the heat for signing such a bill.,549.1678193110283
14, Vince Neil butchered the anthem during a professional football game in Las Vegas.  He reminded us that performing the American national anthem can make you either a national hero or a national disgrace. Whitney Houston set the modern standard for the national anthem at Super Bowl,533.5895332135
15, Walmart stands up for gay rights because it caters to a diverse consumer base and it recognizes the changing views of marriage equality in the US.,202.49669844419026
16, Governments should not use the death penalty as a political tool or easy way out when times get tough.,249.88669551015488
17, Prosecutor insists no video from on board Germanwings Flight 9525. How many people were on board the Germanwings Flight 9525? How many people were on board the Germanwings Flight 9525?  How do Paris Match,582.3106193084436
18," Reverend Robert Schuller, the California televangelist and founder of Hour of Power died Thursday's morning. He had been suffering from esophageal cancer. Explain the attitude of Balmer towards Schuller. Summarize the article in",464.3452855507315
19, Former Congresswoman Bachmann compared President Obama to Andreas Lubitz the co-pilot of Germanwings flight 9525 who crashed the plane in the French Alps due to a deranged pilot flying his entire nation into the rocks where shocked survivors will ask,575.1343253267182
20," Louis Jordan drifted on his Pearson sailboat for 66 days after it capsized two times. He collected fresh water to drink and caught fish with laundry to eat. He was rescued Thursday evening by the Houston Express, a 1,000-foot long",617.3676777565217
